0	4.44613e-16	8.57739e-16	-3.1415	3.70154e-17	-41.0264
0.0247607	-0.000112473	0.0432676	-3.1414	-0.0440608	38.7922
0.0822274	0.0119908	0.324295	-3.15289	-0.293833	12.2538
0.170366	0.0491073	0.595948	-3.1832	-0.462369	39.8814
0.286338	0.173468	1.55638	-3.27536	-1.08096	44.9489
0.426413	0.450487	2.39428	-3.43636	-1.16801	44.0447
0.586088	0.944549	3.83106	-3.6405	-1.3405	50.7539
0.760233	1.67742	4.27607	-3.80145	-0.286092	-10.2226
0.943249	2.42032	3.79051	-3.73598	0.924721	-27.1975
1.12925	2.93289	0.920081	-3.3637	3.57188	-179.11
1.31227	2.51544	-5.60334	-2.40189	6.28	-205.592
1.48641	1.20097	-8.46265	-1.46049	3.89435	5.57203
1.64609	-0.0397843	-6.69259	-1.04738	1.71886	96.7004
1.78617	-0.829418	-4.68224	-0.837676	1.31962	72.9206
1.90214	-1.29792	-3.42181	-0.70443	1.01689	65.1728
1.99028	-1.55763	-2.48243	-0.615509	1.01047	59.4917
2.04774	-1.6862	-2.02607	-0.559677	0.913441	40.043
2.0725	-1.73424	-1.843	-0.537549	0.88514	57.1188
2.0725	-1.73424	-1.843	-0.537549	0.88514	57.1188
2.09726	-1.7772	-1.63311	-0.515586	0.884507	47.6406
2.15473	-1.85928	-1.23707	-0.466114	0.83243	38.8155
2.24287	-1.94488	-0.716909	-0.396446	0.752829	33.8737
2.35884	-1.99376	-0.151288	-0.31427	0.662605	26.0212
2.49892	-1.97828	0.342715	-0.230073	0.539485	18.3189
2.65859	-1.89012	0.737285	-0.15383	0.420777	12.6882
2.83274	-1.73576	1.00927	-0.0902477	0.310518	7.22916
3.01575	-1.53579	1.15935	-0.0428731	0.212997	3.83836
3.20176	-1.31228	1.23211	-0.00964062	0.148077	1.47566
3.38477	-1.08557	1.23569	0.0124401	0.0946609	-0.445264
3.55892	-0.872681	1.20685	0.0257772	0.0624047	-1.04123
3.71859	-0.68326	1.16129	0.0341024	0.0411522	-2.02773
3.85867	-0.524409	1.1066	0.0385493	0.024284	-2.11958
3.97464	-0.398608	1.06216	0.0410195	0.0183247	-2.38132
4.06278	-0.30675	1.02139	0.0422836	0.0100647	-2.67712
4.12025	-0.248777	0.997123	0.0427855	0.00837655	-2.20911
4.14501	-0.224214	0.986429	0.0429885	0.00753196	-2.96743
4.14501	-0.224214	0.986429	0.0429885	0.00753196	-2.96743
4.16977	-0.199941	0.974354	0.0431466	0.00546238	-2.68545
4.22723	-0.144699	0.948373	0.0433881	0.00318601	-2.57732
4.31537	-0.0628756	0.908083	0.0435345	4.87657e-05	-2.67613
4.43134	0.0393197	0.854457	0.0433139	-0.00358381	-2.65639
4.57142	0.154536	0.790729	0.0426084	-0.00635197	-2.63537
4.73109	0.275045	0.718929	0.0413744	-0.00899472	-2.59421
4.90524	0.39361	0.64335	0.0396452	-0.0106419	-2.48788
5.08826	0.504349	0.567327	0.0375972	-0.011735	-2.39467
5.27426	0.60297	0.49384	0.0353304	-0.0125035	-2.26009
5.45728	0.687088	0.426122	0.03303	-0.0125953	-2.12773
5.63142	0.75596	0.365491	0.0308274	-0.0126863	-2.0042
5.7911	0.81013	0.31364	0.0288207	-0.0123644	-1.87016
5.93117	0.851043	0.270882	0.0271146	-0.0120526	-1.78326
6.04714	0.880488	0.237219	0.0257245	-0.0118783	-1.6909
